Weekday,TimestampDetected,Brand,StoreAddress,InventoryQty
Thursday,2025-09-11 09:27:13,BLANTON'S BOURBON,"1940 Cinema Dr., Fuquay Varina, NC 27526",6
Wednesday,2025-09-10 09:27:13,BLANTON'S BOURBON,"100 Village Walk Dr., Holly Springs, NC 27540",4
Thursday,2025-09-11 09:27:13,BLANTON'S BOURBON,"2109-106 Avent Ferry Rd., Raleigh, NC 27606",6
Thursday,2025-09-11 09:27:13,BLANTON'S BOURBON,"209 S Salisbury St, Raleigh, NC 27601",18
Thursday,2025-09-11 09:27:13,STAGG BOURBON,"209 S Salisbury St, Raleigh, NC 27601",6
Thursday,2025-09-11 09:27:13,EAGLE RARE 10Y,"1940 Cinema Dr., Fuquay Varina, NC 27526",21
Wednesday,2025-09-10 09:27:13,EAGLE RARE 10Y,"100 Village Walk Dr., Holly Springs, NC 27540",22
Thursday,2025-09-11 09:27:13,EAGLE RARE 10Y,"2109-106 Avent Ferry Rd., Raleigh, NC 27606",24
Thursday,2025-09-11 09:27:13,EAGLE RARE 10Y,"209 S Salisbury St, Raleigh, NC 27601",36
Thursday,2025-09-11 09:27:13,BUFFALO TRACE BOURBON WHISKEY,"1940 Cinema Dr., Fuquay Varina, NC 27526",48
Wednesday,2025-09-10 09:27:13,BUFFALO TRACE BOURBON WHISKEY,"100 Village Walk Dr., Holly Springs, NC 27540",36
Thursday,2025-09-11 09:27:13,BUFFALO TRACE BOURBON WHISKEY,"2109-106 Avent Ferry Rd., Raleigh, NC 27606",36
Thursday,2025-09-11 19:26:36,SHENK'S SOUR MASH WHISKEY,"2645 Appliance Ct., Raleigh, NC 27604",3
Thursday,2025-09-11 19:26:36,SHENK'S SOUR MASH WHISKEY,"1793 West Williams St., Apex, NC 27502",3
Thursday,2025-09-11 19:26:36,SHENK'S SOUR MASH WHISKEY,"6301 Town Center Dr., Raleigh, NC 27614",3
Thursday,2025-09-11 19:26:36,SHENK'S SOUR MASH WHISKEY,"704 Money Ct., Knightdale, NC 27545",3
Thursday,2025-09-11 19:26:36,SHENK'S SOUR MASH WHISKEY,"420 Woodburn Rd., Raleigh, NC 27605",3
Thursday,2025-09-11 19:26:36,SHENK'S SOUR MASH WHISKEY,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",3
Thursday,2025-09-11 19:26:36,E.H. TAYLOR JR. SMALL BATCH,"1793 West Williams St., Apex, NC 27502",5
Thursday,2025-09-11 19:26:36,E.H. TAYLOR JR. SMALL BATCH,"420 Woodburn Rd., Raleigh, NC 27605",6
Thursday,2025-09-11 19:26:36,E.H. TAYLOR JR. SMALL BATCH,"4215 The Circle at North Hills Rd, Raleigh, NC 27609",6
Thursday,2025-09-11 19:26:36,BLANTON'S BOURBON,"2645 Appliance Ct., Raleigh, NC 27604",6
Thursday,2025-09-11 19:26:36,BLANTON'S BOURBON,"1793 West Williams St., Apex, NC 27502",4
