ExpectedDate,AnnouncedDate,ConfirmedDate,Store,Brand,Board,Status,DaysSinceLast,Source
2025-08-27,2025-08-28,,"4501 Vineyard Pine Ln., Rolesville, NC 27571",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-08-27,2025-08-28,,"4501 Vineyard Pine Ln., Rolesville, NC 27571",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"6809 Davis Circle, Raleigh, NC 27612",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"6809 Davis Circle, Raleigh, NC 27612",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"6809 Davis Circle, Raleigh, NC 27612",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"6809 Davis Circle, Raleigh, NC 27612",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"6809 Davis Circle, Raleigh, NC 27612",W.L. WELLER 12Y,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"6809 Davis Circle, Raleigh, NC 27612",WELLER FULL PROOF,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"7200 Sandy Fork Rd., Raleigh, NC 27609",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"7200 Sandy Fork Rd., Raleigh, NC 27609",BUFFALO TRACE BOURBON WHISKEY,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"7200 Sandy Fork Rd., Raleigh, NC 27609",E.H. TAYLOR JR. SMALL BATCH,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"7200 Sandy Fork Rd., Raleigh, NC 27609",EAGLE RARE 10Y,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"7200 Sandy Fork Rd., Raleigh, NC 27609",W.L. WELLER 12Y,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"7200 Sandy Fork Rd., Raleigh, NC 27609",WELLER FULL PROOF,Wake County ABC,Announced,,wake_delta
2025-08-28,2025-08-28,,"7336 Creedmoor Rd., Raleigh, NC 27613",BLANTON'S BOURBON,Wake County ABC,Announced,,wake_delta
